,x,y,theta,v
0,0.0,0.0,0.0,0.1
1,0.009895,-0.00125,-0.251327,0.1
2,0.0,0.0,0.0,0.1
3,0.009974,0.000627,0.125664,0.1
4,0.009895,-0.00125,-0.251327,0.1
5,0.019035,-0.005205,-0.565486,0.1
6,0.019035,-0.005205,-0.565486,0.1
7,0.027932,-0.009738,-0.376991,0.1
8,0.009974,0.000627,0.125664,0.1
9,0.028882,0.006771,0.502654,0.1
10,0.019035,-0.005205,-0.565486,0.1
11,0.037084,-0.013698,-0.314159,0.1
12,0.028882,0.006771,0.502654,0.1
13,0.046967,0.015281,0.376991,0.1
14,0.019035,-0.005205,-0.565486,0.1
15,0.02712,-0.011079,-0.69115,0.1
16,0.028882,0.006771,0.502654,0.1
17,0.038046,0.010737,0.314159,0.1
18,0.028882,0.006771,0.502654,0.1
19,0.047791,0.012915,0.125664,0.1
20,0.028882,0.006771,0.502654,0.1
21,0.04502,0.018496,0.753982,0.1
22,0.02712,-0.011079,-0.69115,0.1
23,0.035378,-0.016692,-0.502654,0.1
24,0.04502,0.018496,0.753982,0.1
25,0.05231,0.025342,0.753982,0.1
26,0.02712,-0.011079,-0.69115,0.1
27,0.035541,-0.016423,-0.439823,0.1
28,0.02712,-0.011079,-0.69115,0.1
29,0.043289,-0.022827,-0.565486,0.1
30,0.05231,0.025342,0.753982,0.1
31,0.058667,0.033026,1.005309,0.1
32,0.05231,0.025342,0.753982,0.1
33,0.069097,0.035995,0.376991,0.1
34,0.028882,0.006771,0.502654,0.1
35,0.038156,0.010443,0.251327,0.1
36,0.058667,0.033026,1.005309,0.1
37,0.063482,0.041784,1.130972,0.1
38,0.069097,0.035995,0.376991,0.1
39,0.087692,0.043357,0.376991,0.1
40,0.063482,0.041784,1.130972,0.1
41,0.066564,0.051269,1.3823,0.1
42,0.02712,-0.011079,-0.69115,0.1
43,0.04169,-0.024761,-0.816813,0.1
44,0.04169,-0.024761,-0.816813,0.1
45,0.058399,-0.035365,-0.314159,0.1
46,0.04169,-0.024761,-0.816813,0.1
47,0.057774,-0.036447,-0.439823,0.1
48,0.02712,-0.011079,-0.69115,0.1
49,0.03502,-0.017207,-0.628318,0.1
50,0.087692,0.043357,0.376991,0.1
51,0.09699,0.047038,0.376991,0.1
52,0.066564,0.051269,1.3823,0.1
53,0.069049,0.060949,1.256636,0.1
54,0.066564,0.051269,1.3823,0.1
55,0.068128,0.061145,1.445131,0.1
56,0.04169,-0.024761,-0.816813,0.1
57,0.048974,-0.031602,-0.69115,0.1
58,0.058667,0.033026,1.005309,0.1
59,0.073825,0.045566,0.376991,0.1
60,0.04169,-0.024761,-0.816813,0.1
61,0.05443,-0.040161,-0.942477,0.1
62,0.05443,-0.040161,-0.942477,0.1
63,0.068085,-0.054702,-0.69115,0.1
64,0.05443,-0.040161,-0.942477,0.1
65,0.058951,-0.049035,-1.256636,0.1
66,0.09699,0.047038,0.376991,0.1
67,0.116624,0.048274,-0.251327,0.1
68,0.0,0.0,0.0,0.1
69,0.019947,0.001255,0.125664,0.1
70,0.0,0.0,0.0,0.1
71,0.009895,-0.00125,-0.251327,0.1
72,0.019035,-0.005205,-0.565486,0.1
73,0.033528,-0.018815,-0.942477,0.1
74,0.068128,0.061145,1.445131,0.1
75,0.070608,0.070805,1.193804,0.1
76,0.068128,0.061145,1.445131,0.1
77,0.071873,0.080777,1.319468,0.1
78,0.068128,0.061145,1.445131,0.1
79,0.064442,0.080469,2.073449,0.1
80,0.064442,0.080469,2.073449,0.1
81,0.060476,0.089633,1.884954,0.1
82,0.060476,0.089633,1.884954,0.1
83,0.048913,0.105548,2.513272,0.1
84,0.048913,0.105548,2.513272,0.1
85,0.040039,0.110069,2.827431,0.1
86,0.060476,0.089633,1.884954,0.1
87,0.059233,0.109384,1.3823,0.1
88,0.028882,0.006771,0.502654,0.1
89,0.047429,0.014114,0.251327,0.1
90,0.116624,0.048274,-0.251327,0.1
91,0.125897,0.044602,-0.502654,0.1
92,0.125897,0.044602,-0.502654,0.1
93,0.134335,0.039247,-0.628318,0.1
94,0.058951,-0.049035,-1.256636,0.1
95,0.06174,-0.058636,-1.319468,0.1
96,0.05231,0.025342,0.753982,0.1
97,0.0596,0.032187,0.753982,0.1
98,0.019035,-0.005205,-0.565486,0.1
99,0.038089,-0.010098,0.062832,0.1
100,0.019035,-0.005205,-0.565486,0.1
101,0.028059,-0.009452,-0.314159,0.1
102,0.06174,-0.058636,-1.319468,0.1
103,0.060505,-0.07827,-1.947786,0.1
104,0.116624,0.048274,-0.251327,0.1
105,0.126225,0.045484,-0.314159,0.1
106,0.028882,0.006771,0.502654,0.1
107,0.036951,0.012634,0.753982,0.1
108,0.019035,-0.005205,-0.565486,0.1
109,0.027304,-0.010825,-0.628318,0.1
110,0.06174,-0.058636,-1.319468,0.1
111,0.070206,-0.076626,-0.942477,0.1
112,0.060505,-0.07827,-1.947786,0.1
113,0.055972,-0.087167,-2.136281,0.1
114,0.055972,-0.087167,-2.136281,0.1
115,0.041546,-0.100714,-2.638936,0.1
116,0.048913,0.105548,2.513272,0.1
117,0.040643,0.111168,2.576104,0.1
118,0.040039,0.110069,2.827431,0.1
119,0.030748,0.113748,2.701767,0.1
120,0.036951,0.012634,0.753982,0.1
121,0.054294,0.022168,0.251327,0.1
122,0.070206,-0.076626,-0.942477,0.1
123,0.076576,-0.084326,-0.816813,0.1
124,0.048913,0.105548,2.513272,0.1
125,0.031433,0.115158,2.764599,0.1
126,0.041546,-0.100714,-2.638936,0.1
127,0.033108,-0.106069,-2.513272,0.1
128,0.048913,0.105548,2.513272,0.1
129,0.036298,0.120797,2.010618,0.1
130,0.0,0.0,0.0,0.1
131,0.009895,0.00125,0.251327,0.1
132,0.066564,0.051269,1.3823,0.1
133,0.067816,0.071177,1.633627,0.1
134,0.059233,0.109384,1.3823,0.1
135,0.062981,0.129029,1.3823,0.1
136,0.070206,-0.076626,-0.942477,0.1
137,0.075826,-0.084895,-1.005309,0.1
138,0.134335,0.039247,-0.628318,0.1
