stateName,StateOrRegionCode,Median_PriceToRentRatio_AllHomes,Median_DaysOnZillow_AllHomes,Sale_Counts_Seas_Adj,Sale_Counts,MedianListingPrice_3Bedroom,ZHVI_3bedroom,ZHVI_CondoCoop,ZHVI_SingleFamilyResidence,MedianListingPrice_4Bedroom,ZHVI_4bedroom,ZHVI_MiddleTier,ZHVI_TopTier,population
Alabama,AL,9.81,128.25,4085,3835,149250,120107,131600,115600,251945,227076,118682,231861,4779736
Arizona,AZ,13.3,87.25,11312,11320,221320.5,166874,114900,165300,315072.5,226945,177110,324985,6392017
Arkansas,AR,9.6,116.875,2227,2342,137620.25,127824,123300,102400,229675,221084,108918,193070,2915918
California,CA,16.62,77,36116,36729.5,409444,372368,312500,344000,549000,476755,393784,756934,37253956
Colorado,CO,12.91,77.25,8313.5,7727.5,264962.5,249544,160800,222300,382861.5,343690,253108,439888,5029196
Connecticut,CT,11.67,133.25,2639,2554,250000,233384,154100,253800,405950,357005,239681,442266,3574097
Delaware,DE,12.08,120.875,919,836,220975,192232,,190800,325000,295442,200802,322200,897934
DistrictofColumbiaWashingtonDC,DC,15.65,72.5,592,576,561450,446792,363500,372900,699000,686881,438770,819454,601723
Florida,FL,9.84,110.25,32126,29485,229445,161748,117000,154300,320990,250803,159160,319864,18801310
Georgia,GA,9.84,103.5,17069,16425,152900,120760,135400,132300,244616.75,216109,131789,261952,9687653
Idaho,ID,12.48,96.25,1571,1493,174995,151423,151700,144600,263500,191416,159977,273493,1567582
Illinois,IL,9.11,122,14278,13979,169900,151801,158500,153100,299900,250994,153609,297813,12830632
Indiana,IN,9.03,114.25,6996,7185,124900,116874,116300,110700,200000,171119,113957,200011,6483802
Iowa,IA,9.72,108.5,3033,2835,144950,136410,107700,90400,214950,178275,117315,205063,3046355
Kansas,KS,9.96,93.25,2018,1989,126750,120143,104400,115000,208450,,115565,,2853118
Kentucky,KY,9.91,107.25,3407,3374,138950,126871,113500,115700,229450,206317,122377,218664,4339367
Louisiana,LA,,109,3108,3054,157900,130201,,,249450,,,231579,4533372
Maine,ME,11.62,138.75,,,199000,207565,184500,180100,249000,255645,186182,332317,1328361
Maryland,MD,11.97,122.75,6079,6340,304048,226648,200300,245000,449900,347392,244799,434227,5773552
Massachusetts,MA,13.93,102,5785,5315,319000,306232,239900,308500,469900,439097,318255,556846,6547629
Michigan,MI,8.96,108,14348,13113.5,158000,122085,151100,113800,248900,224747,107641,208518,9883640
Minnesota,MN,10.65,103.5,6360,6003,179900,182223,147900,174400,259900,238566,173638,299279,5303925
Mississippi,MS,9.45,119.875,1406,1426,140000,116217,,94900,239900,206774,110326,191635,2967297
Missouri,MO,10.46,102.25,5622,5889,135000,133772,119200,129100,230000,238191,129666,239603,5988927
Montana,MT,14.125,104.875,700,695,250000,189849,153350,171800,325000,214991,181503,286455,989415
Nebraska,NE,9.22,92.125,1476.5,1434,138250,134520,122200,120900,235000,211306,130510,223684,1826341
Nevada,NV,12.83,90.25,4694,4812,212950,168005,102700,179400,296475.75,223851,176574,297735,2700551
New Hampshire,NH,11.32,118,,,235000,228102,159300,221500,339000,302080,214221,336125,1316470
New Jersey,NJ,11.87,146.5,7545.5,7429.5,325000,262394,217300,281300,499900,372677,282120,502655,8791894
New Mexico,NM,12.62,117,1569,1554,195500,148722,,159700,280000,219594,164067,290504,2059179
New York,NY,10.57,159.75,12740,12439,219450,142184,454900,238300,329900,224861,259948,565803,19378102
North Carolina,NC,10.82,121.5,9217,8989,169900,141315,121100,137900,285000,249031,143928,277794,9535483
North Dakota,ND,12.775,94,613,595,,199653,125300,164900,,234498,183138,278982,672591
Ohio,OH,8.89,109.25,12091.5,12059,121500,112233,102500,113800,224990,186940,113820,207991,11536504
Oklahoma,OK,8.99,104.75,3369,3403,137050,106433,62600,84900,229900,186780,100773,183850,3751351
Oregon,OR,14.29,92.25,4049,4060.5,239831.75,230796,155800,204700,333750,317501,235896,387713,3831074
Pennsylvania,PA,10.18,121,11576,11745,158500,148556,111700,149400,283038.5,267331,148833,275250,12702379
Rhode Island,RI,12.07,127.25,,,249900,223690,171900,222200,336250,326193,223311,385231,1052567
South Carolina,SC,9.77,128.75,6029,5903,167200,138253,122400,122200,269995,228333,127985,252939,4625364
South Dakota,SD,11.35,,,,159900,151752,130750,136650,199900,179202,151156,236892,814180
Tennessee,TN,9.65,113.5,8234,8282,159900,131902,129100,113000,279000,228120,122353,233601,6346105
Texas,TX,8.97,85.5,25529,24688,159950,127739,,124000,258500,215429,138018,265022,25145561
Utah,UT,13.66,90.375,3273.5,3221,209950,195772,156800,186900,307450,227049,207283,337993,2763885
Vermont,VT,11.71,169.375,676,591,249900,224900,173000,208300,339922.5,287200,206817,305295,625741
Virginia,VA,12.49,98.75,7636,7563,209250,198827,245100,206500,345200,338727,224064,453472,8001024
Washington,WA,14.17,88,7436,6880,249000,258880,193900,234200,339055,351746,261596,472876,6724540
West Virginia,WV,8.5,128.25,850,858,144700,105664,111400,64300,228041.5,144555,93570,160318,1852994
Wisconsin,WI,11.1,122,5864,5708,164900,147711,133600,146000,229900,191828,149142,247380,5686986
Wyoming,WY,12.98,93,345,358,218400,199832,164700,178800,268500,227526,189053,294453,563626
ForColorRangeControl,TEST,,,,,1229181,1229181,1229181,1229181,1229181,1229181,1229181,1229181,
