,x,y,theta,v
0,0.0,0.0,0.0,0.1
1,0.030397,0.00344,0.184027,0.512563
2,0.0,0.0,0.0,0.1
3,-0.164225,-0.014587,0.128977,-1.749376
4,0.030397,0.00344,0.184027,0.512563
5,0.008441,0.004292,0.029858,-0.730183
6,0.030397,0.00344,0.184027,0.512563
7,0.096732,0.023543,0.386783,0.876031
8,0.096732,0.023543,0.386783,0.876031
9,0.137412,0.042945,0.556632,0.026141
10,-0.164225,-0.014587,0.128977,-1.749376
11,-0.619578,-0.141138,0.390347,-2.989907
12,-0.164225,-0.014587,0.128977,-1.749376
13,-0.542103,0.015466,-0.276416,-2.067361
14,-0.619578,-0.141138,0.390347,-2.989907
15,-0.913925,-0.252615,0.334649,-3.305902
16,0.008441,0.004292,0.029858,-0.730183
17,-0.143831,0.022815,-0.266852,-0.809396
18,0.096732,0.023543,0.386783,0.876031
19,0.197032,0.063939,0.379448,1.286562
20,0.197032,0.063939,0.379448,1.286562
21,0.293213,0.108264,0.492284,0.832614
22,-0.542103,0.015466,-0.276416,-2.067361
23,-0.716739,0.050912,-0.115559,-1.5004
24,-0.619578,-0.141138,0.390347,-2.989907
25,-0.968277,-0.344558,0.7178,-1.063784
26,-0.913925,-0.252615,0.334649,-3.305902
27,-1.71141,-0.447081,0.155406,-4.913486
28,0.293213,0.108264,0.492284,0.832614
29,0.332505,0.132279,0.646347,0.089088
30,0.332505,0.132279,0.646347,0.089088
31,0.417407,0.259613,1.16561,1.454124
32,-1.71141,-0.447081,0.155406,-4.913486
33,-2.206836,-0.461448,-0.096476,-5.025442
34,0.197032,0.063939,0.379448,1.286562
35,0.362434,0.146953,0.576363,0.566937
36,-0.968277,-0.344558,0.7178,-1.063784
37,-1.163226,-0.695306,1.31392,-3.004474
38,0.417407,0.259613,1.16561,1.454124
39,0.463907,0.356412,1.068933,0.694458
40,-1.71141,-0.447081,0.155406,-4.913486
41,-2.192428,-0.51822,0.138193,-4.81164
42,-2.206836,-0.461448,-0.096476,-5.025442
43,-3.148497,-0.419554,0.00989,-4.404922
44,-0.619578,-0.141138,0.390347,-2.989907
45,-1.262031,-0.188411,-0.225617,-3.554714
46,0.008441,0.004292,0.029858,-0.730183
47,-0.149457,-0.003927,0.073059,-0.85105
48,0.197032,0.063939,0.379448,1.286562
49,0.337421,0.114387,0.313519,1.697529
50,0.337421,0.114387,0.313519,1.697529
51,0.53693,0.176481,0.291335,2.481543
52,0.53693,0.176481,0.291335,2.481543
53,0.738751,0.234722,0.269219,1.719667
54,0.53693,0.176481,0.291335,2.481543
55,0.787375,0.249323,0.27501,2.734974
56,-0.968277,-0.344558,0.7178,-1.063784
57,-1.040239,-0.407299,0.71624,-0.845662
58,0.53693,0.176481,0.291335,2.481543
59,1.061148,0.39642,0.494462,3.213058
60,1.061148,0.39642,0.494462,3.213058
61,1.375278,0.528094,0.303093,3.609547
62,1.375278,0.528094,0.303093,3.609547
63,1.699434,0.582303,0.019346,2.985639
64,-1.040239,-0.407299,0.71624,-0.845662
65,-1.178257,-0.512097,0.583711,-0.888567
66,1.699434,0.582303,0.019346,2.985639
67,1.960533,0.572645,-0.098896,2.242939
68,-3.148497,-0.419554,0.00989,-4.404922
69,-3.583883,-0.43399,0.056572,-4.308368
70,-3.583883,-0.43399,0.056572,-4.308368
71,-3.991416,-0.394593,-0.254301,-3.913338
72,0.53693,0.176481,0.291335,2.481543
73,0.796966,0.268863,0.388118,3.03976
74,-0.619578,-0.141138,0.390347,-2.989907
75,-1.094289,-0.267612,0.110476,-1.938622
76,1.960533,0.572645,-0.098896,2.242939
77,2.453999,0.577966,0.113882,2.701305
78,-3.991416,-0.394593,-0.254301,-3.913338
79,-4.333298,-0.265414,-0.473238,-3.41072
80,2.453999,0.577966,0.113882,2.701305
81,2.883443,0.625473,0.105797,1.619344
82,-1.71141,-0.447081,0.155406,-4.913486
83,-2.683818,-0.332109,-0.389182,-5.000372
84,-2.683818,-0.332109,-0.389182,-5.000372
85,-3.111249,-0.105893,-0.58648,-4.687379
86,-0.164225,-0.014587,0.128977,-1.749376
87,-0.413769,-0.115662,0.694253,-0.978194
88,-1.71141,-0.447081,0.155406,-4.913486
89,-2.154279,-0.582972,0.445557,-4.384024
90,2.883443,0.625473,0.105797,1.619344
91,3.014372,0.627589,-0.088706,1.00363
92,-1.178257,-0.512097,0.583711,-0.888567
93,-1.226822,-0.545326,0.623082,-0.288404
94,3.014372,0.627589,-0.088706,1.00363
95,3.14438,0.607763,-0.240533,0.312627
96,0.417407,0.259613,1.16561,1.454124
97,0.667113,0.64001,0.852228,3.114055
98,2.453999,0.577966,0.113882,2.701305
99,2.86924,0.71279,0.547038,1.698215
100,3.14438,0.607763,-0.240533,0.312627
101,3.054914,0.597758,0.20958,-1.213214
102,-1.71141,-0.447081,0.155406,-4.913486
103,-2.189006,-0.506611,0.092168,-4.713944
104,-3.991416,-0.394593,-0.254301,-3.913338
105,-4.357702,-0.331386,-0.084538,-3.529577
106,3.054914,0.597758,0.20958,-1.213214
107,2.923932,0.579327,0.016404,-0.111099
108,0.796966,0.268863,0.388118,3.03976
109,1.323103,0.396083,0.07394,2.395459
110,0.796966,0.268863,0.388118,3.03976
111,1.081146,0.437955,0.677276,3.596929
112,3.14438,0.607763,-0.240533,0.312627
113,3.135672,0.613548,-0.53732,-0.518403
114,-2.683818,-0.332109,-0.389182,-5.000372
115,-3.128613,-0.076483,-0.651582,-5.28948
116,2.453999,0.577966,0.113882,2.701305
117,3.059334,0.690725,0.248899,3.460823
118,-1.71141,-0.447081,0.155406,-4.913486
119,-2.198129,-0.448557,-0.149908,-4.858853
120,3.054914,0.597758,0.20958,-1.213214
121,2.967696,0.591353,-0.10281,-0.542625
122,-1.71141,-0.447081,0.155406,-4.913486
123,-2.177465,-0.55963,0.319807,-4.68636
124,1.081146,0.437955,0.677276,3.596929
125,1.347615,0.659931,0.712271,3.339686
126,-2.683818,-0.332109,-0.389182,-5.000372
127,-3.343247,0.134754,-0.879993,-3.159555
128,0.796966,0.268863,0.388118,3.03976
129,1.456607,0.619263,0.576692,4.440507
130,-1.71141,-0.447081,0.155406,-4.913486
131,-2.227272,-0.550056,0.236854,-5.610195
132,0.53693,0.176481,0.291335,2.481543
133,0.795673,0.287117,0.508119,3.157515
134,3.059334,0.690725,0.248899,3.460823
135,3.354248,0.737738,0.057218,2.521013
136,3.14438,0.607763,-0.240533,0.312627
137,3.059386,0.593015,0.283682,-1.175398
138,3.054914,0.597758,0.20958,-1.213214
139,2.936916,0.585854,-0.124326,0.023712
140,-1.262031,-0.188411,-0.225617,-3.554714
141,-1.634316,-0.157788,0.05662,-3.940968
142,3.059334,0.690725,0.248899,3.460823
143,3.769762,0.706334,-0.199846,3.705128
144,3.14438,0.607763,-0.240533,0.312627
145,3.149918,0.608631,-0.544865,-0.264596
146,-4.357702,-0.331386,-0.084538,-3.529577
