"transaction_id","customer_id","store","date","subtotal","discount","discount_amount","tax","total_amount"
1,144,"Dallas",2024-03-16,890.92,"none",0,71.27,962.19
2,395,"Austin",2024-12-10,183.24,"none",0,14.66,197.9
3,205,"Houston",2024-05-18,845.5,"none",0,67.64,913.14
4,442,"Fort Worth",2024-08-17,219.5,"loyalty",21.95,17.56,215.11
5,471,"Fort Worth",2024-03-08,445.14,"loyalty",44.51,35.61,436.24
6,23,"Austin",2024-08-29,200.15,"coupon",20.02,16.01,196.14
7,265,"San Antonio",2024-09-25,719.54,"loyalty",71.95,57.56,705.15
8,447,"Dallas",2024-06-30,226.99,"none",0,18.16,245.15
9,276,"Houston",2024-11-13,263,"none",0,21.04,284.04
10,229,"Austin",2024-10-31,241.08,"none",0,19.29,260.37
11,479,"Austin",2024-12-25,840.37,"sale",84.04,67.23,823.56
12,227,"Dallas",2024-09-01,195.58,"none",0,15.65,211.23
13,339,"Houston",2024-08-23,143.98,"loyalty",14.4,11.52,141.1
14,287,"Austin",2024-01-17,329,"coupon",32.9,26.32,322.42
15,52,"Houston",2024-03-10,715.83,"sale",71.58,57.27,701.52
16,450,"San Antonio",2024-01-12,271.37,"none",0,21.71,293.08
17,124,"Austin",2024-11-06,514.65,"coupon",51.47,41.17,504.35
18,22,"San Antonio",2024-06-04,259.58,"none",0,20.77,280.35
19,164,"Austin",2024-10-26,493.46,"none",0,39.48,532.94
20,478,"Dallas",2024-02-25,473.12,"none",0,37.85,510.97
21,445,"Austin",2024-05-28,41.87,"sale",4.19,3.35,41.03
22,347,"San Antonio",2024-09-21,118.29,"loyalty",11.83,9.46,115.92
23,321,"Austin",2024-01-22,215.55,"sale",21.56,17.24,211.23
24,498,"Dallas",2024-04-30,440.53,"none",0,35.24,475.77
25,328,"Fort Worth",2024-10-11,191.07,"none",0,15.29,206.36
26,355,"Dallas",2024-11-03,346,"none",0,27.68,373.68
27,273,"Austin",2024-11-14,46.5,"coupon",4.65,3.72,45.57
28,298,"Austin",2024-12-14,583.31,"loyalty",58.33,46.66,571.64
29,145,"Dallas",2024-05-20,309.58,"loyalty",30.96,24.77,303.39
30,74,"Austin",2024-12-13,718.77,"coupon",71.88,57.5,704.39
31,482,"Dallas",2024-09-14,938.5,"loyalty",93.85,75.08,919.73
32,452,"Austin",2024-06-03,520.46,"loyalty",52.05,41.64,510.05
33,346,"Austin",2024-05-23,346.94,"loyalty",34.69,27.76,340.01
34,398,"Houston",2024-03-18,404.56,"none",0,32.36,436.92
35,13,"San Antonio",2024-10-02,892.54,"none",0,71.4,963.94
36,239,"Austin",2024-06-11,730.65,"coupon",73.06,58.45,716.04
37,380,"Houston",2024-06-14,784.93,"coupon",78.49,62.79,769.23
38,109,"Austin",2024-01-31,2617.45,"sale",261.74,209.4,2565.11
39,160,"Austin",2024-05-13,276.79,"sale",27.68,22.14,271.25
40,116,"Austin",2024-11-23,345.54,"coupon",34.55,27.64,338.63
41,72,"Fort Worth",2024-07-18,881.48,"loyalty",88.15,70.52,863.85
42,208,"San Antonio",2024-01-12,397.5,"none",0,31.8,429.3
43,207,"Austin",2024-05-22,593.49,"loyalty",59.35,47.48,581.62
44,185,"Austin",2024-02-11,257.29,"coupon",25.73,20.58,252.14
45,77,"Dallas",2024-04-11,789.16,"sale",78.92,63.13,773.37
46,70,"Houston",2024-09-20,1561,"sale",156.1,124.88,1529.78
47,117,"Dallas",2024-05-17,327.21,"sale",32.72,26.18,320.67
48,233,"Houston",2024-08-20,524.47,"none",0,41.96,566.43
49,133,"Fort Worth",2024-06-30,334.66,"none",0,26.77,361.43
50,429,"Fort Worth",2024-10-22,591.29,"loyalty",59.13,47.3,579.46
51,23,"San Antonio",2024-08-01,601.79,"loyalty",60.18,48.14,589.75
52,222,"Fort Worth",2024-03-03,155.78,"none",0,12.46,168.24
53,400,"Fort Worth",2024-12-09,419.9,"sale",41.99,33.59,411.5
54,61,"Austin",2024-01-20,2222.87,"none",0,177.83,2400.7
55,281,"Austin",2024-02-01,210.98,"sale",21.1,16.88,206.76
56,104,"Dallas",2024-11-04,124.57,"none",0,9.97,134.54
57,64,"San Antonio",2024-06-03,572.92,"coupon",57.29,45.83,561.46
58,377,"Dallas",2024-09-19,854.97,"coupon",85.5,68.4,837.87
59,448,"Dallas",2024-09-26,116.97,"coupon",11.7,9.36,114.63
60,188,"San Antonio",2024-12-27,135.5,"coupon",13.55,10.84,132.79
61,333,"San Antonio",2024-12-17,568.45,"none",0,45.48,613.93
62,48,"Houston",2024-02-21,886.49,"sale",88.65,70.92,868.76
63,192,"Dallas",2024-08-31,471.87,"coupon",47.19,37.75,462.43
64,138,"Dallas",2024-01-13,52.79,"sale",5.28,4.22,51.73
65,408,"Houston",2024-06-29,113.79,"none",0,9.1,122.89
66,225,"San Antonio",2024-10-16,285,"none",0,22.8,307.8
67,406,"Austin",2024-05-18,138.95,"none",0,11.12,150.07
68,407,"Houston",2024-12-13,38.99,"none",0,3.12,42.11
69,398,"Fort Worth",2024-08-29,548.5,"sale",54.85,43.88,537.53
70,220,"Austin",2024-06-07,135.46,"sale",13.55,10.84,132.75
71,378,"San Antonio",2024-11-02,417.48,"none",0,33.4,450.88
72,315,"Fort Worth",2024-10-21,148.58,"sale",14.86,11.89,145.61
73,356,"Fort Worth",2024-06-05,2313,"coupon",231.3,185.04,2266.74
74,1,"Fort Worth",2024-04-30,2712.91,"loyalty",271.29,217.03,2658.65
75,238,"San Antonio",2024-07-25,860,"coupon",86,68.8,842.8
76,111,"San Antonio",2024-11-11,173.97,"coupon",17.4,13.92,170.49
77,190,"Dallas",2024-08-02,491,"loyalty",49.1,39.28,481.18
78,307,"Houston",2024-08-24,24,"none",0,1.92,25.92
79,176,"Austin",2024-10-07,245.35,"sale",24.54,19.63,240.44
