"product_id","line_item_id","quantity","transaction_id","product_name","price","line_total"
167,1,3,1,"Cheese",8,24
119,2,1,1,"Watch",118.5,118.5
178,1,1,2,"Collar",9.99,9.99
194,1,1,3,"Baby Monitor",10.5,10.5
54,2,1,3,"Dishwasher",56.99,56.99
197,3,1,3,"Drill",53,53
196,1,3,4,"Pacifier",10.79,32.37
147,2,3,4,"Engine Oil",84.5,253.5
58,3,2,4,"Action Figure",47,94
82,4,2,4,"Novel",6.5,13
41,5,3,4,"Dresser",106.79,320.37
122,1,2,5,"Ring",27,54
79,2,1,5,"Magazine",16.99,16.99
135,3,2,5,"Sneakers",48.5,97
174,4,2,5,"Cat Litter",22.79,45.58
49,1,2,6,"Dishwasher",89.79,179.58
156,2,4,6,"Banana",20.79,83.16
151,3,2,6,"Jump Starter",28.99,57.98
136,4,5,6,"Sneakers",120.5,602.5
111,5,1,6,"Sleeping Bag",46.79,46.79
38,1,1,7,"Wardrobe",173.99,173.99
60,2,2,7,"Toy Car",22.79,45.58
169,3,1,7,"Pet Toys",25,25
95,1,5,8,"Conditioner",34.99,174.95
149,2,1,8,"Headlights",88,88
117,1,1,9,"Ring",99,99
69,1,3,10,"Doll",42.79,128.37
54,2,3,10,"Dishwasher",56.99,170.97
55,1,2,11,"Cookware",93.99,187.98
37,2,2,11,"Bookshelf",143.5,287
93,3,1,11,"Hair Gel",17.99,17.99
111,4,4,11,"Sleeping Bag",46.79,187.16
173,1,1,12,"Pet Food Bowl",17.79,17.79
171,2,3,12,"Dog Food",30,90
76,3,3,12,"Novel",29.5,88.5
124,4,1,12,"Pendant",94.79,94.79
104,5,4,12,"Bicycle",183.5,734
140,1,3,13,"Heels",129,387
144,2,1,13,"Tire",99.5,99.5
96,1,2,14,"Shaving Kit",10.99,21.98
10,2,2,14,"T-shirt",68.79,137.58
193,1,2,15,"Baby Wipes",5.5,11
32,2,2,15,"Desk",206.5,413
73,1,7,16,"Magazine",20.79,145.53
70,1,3,17,"Building Blocks",39.99,119.97
188,2,2,17,"Pacifier",6.99,13.98
143,3,1,17,"Car Seat",29.99,29.99
100,4,2,17,"Soccer Ball",102,204
146,1,2,18,"Car Wax",63.5,127
72,2,2,18,"Sci-Fi Book",27.79,55.58
118,3,4,18,"Ankle Bracelet",154.5,618
167,1,2,19,"Cheese",8,16
33,2,3,19,"Armchair",208.5,625.5
67,3,2,19,"Doll",36.99,73.98
186,4,1,19,"Baby Lotion",9.99,9.99
186,5,1,19,"Baby Lotion",9.99,9.99
87,1,1,20,"Nail Polish",5,5
187,2,1,20,"Baby Clothes",5.5,5.5
130,3,1,20,"Sneakers",79,79
166,1,3,21,"Banana",15.5,46.5
145,2,1,21,"Engine Oil",22.79,22.79
43,1,3,22,"Fridge",130.79,392.37
46,1,1,23,"Bowl",25.5,25.5
119,2,1,23,"Watch",118.5,118.5
162,1,3,24,"Eggs",2.5,7.5
120,1,1,25,"Charm Bracelet",48.79,48.79
44,1,1,26,"Fridge",136,136
190,2,1,26,"Pacifier",8.79,8.79
22,3,2,26,"Camera",92,184
24,4,1,26,"Smartphone",85,85
91,1,1,27,"Perfume",27.79,27.79
77,2,4,27,"Novel",17,68
198,3,1,27,"Paintbrush",76.79,76.79
90,1,3,28,"Lip Balm",16.99,50.97
28,1,1,29,"Laptop",181.5,181.5
171,1,3,30,"Dog Food",30,90
172,1,1,31,"Cat Litter",22,22
30,2,1,31,"Coffee Table",225.5,225.5
76,3,1,31,"Novel",29.5,29.5
50,1,2,32,"Microwave",50.99,101.98
130,2,1,32,"Sneakers",79,79
34,3,3,32,"Desk",219.5,658.5
155,4,4,32,"Eggs",18.99,75.96
122,1,2,33,"Ring",27,54
85,2,2,33,"Toothpaste",5.5,11
10,3,3,33,"T-shirt",68.79,206.37
89,1,1,34,"Perfume",19.5,19.5
168,2,1,34,"Apple",16.5,16.5
136,3,3,34,"Sneakers",120.5,361.5
102,1,2,35,"Camping Tent",146.5,293
68,2,1,35,"Lego Set",25.5,25.5
125,3,2,35,"Cufflinks",16.5,33
91,1,1,36,"Perfume",27.79,27.79
81,2,1,36,"Poetry Book",25,25
87,1,2,37,"Nail Polish",5,10
183,1,2,38,"Pacifier",5.99,11.98
57,2,1,38,"Puzzle",38.99,38.99
44,3,4,38,"Fridge",136,544
88,1,1,39,"Shaving Kit",39.99,39.99
58,2,2,39,"Action Figure",47,94
8,3,3,39,"Shorts",11.99,35.97
110,4,1,39,"Basketball",136.79,136.79
160,1,1,40,"Banana",17,17
8,1,1,41,"Shorts",11.99,11.99
170,2,4,41,"Cat Litter",21.99,87.96
165,3,1,41,"Butter",8.99,8.99
180,4,4,41,"Pet Toys",38.99,155.96
75,5,2,41,"Cookbook",12,24
148,1,2,42,"Car Battery",86,172
80,2,1,42,"Poetry Book",15.79,15.79
74,3,3,42,"Biography",24.5,73.5
171,1,2,43,"Dog Food",30,60
187,2,1,43,"Baby Clothes",5.5,5.5
87,1,1,44,"Nail Polish",5,5
167,2,2,44,"Cheese",8,16
104,3,1,44,"Bicycle",183.5,183.5
97,4,1,44,"Toothpaste",6,6
29,5,1,44,"Desk",53.99,53.99
